result_name,category,candidate_count,domains,model_or_method,has_llm_judge_scores,judge_models,has_structural_metrics,final_status,main_source_path,main_table_path,notes_for_paper
Personalized LLM judge,diagnostic,4,3 completed profiles,profile alignment judge,yes,six judges,yes,PASS,[PROFILE_CONDITIONED_RUN_NAMESPACE]/llm_judge/personalized_profile_alignment_judge_20260724_104911,[COAUTHOR_RESULTS_PACKET]/DIAGNOSTIC_TABLES/TABLE_D2_PERSONALIZED_JUDGE_SCORES.tex,Profile alignment varied; use cautiously.
Model scaling 4B/9B/27B,diagnostic,4B:0 final; 9B:3; 27B:1,Bandits,Qwen family,partially,27B six-judge; 4B not scored,yes,PASS_WITH_LOW_SIGNAL_4B,[SANITIZED_PRIVATE_PATH],[COAUTHOR_RESULTS_PACKET]/DIAGNOSTIC_TABLES/TABLE_D3_MODEL_SCALING_COUNTS.tex,4B produced no final families; 27B stronger than 9B average on Bandits.
27B formulation judge,diagnostic,1,Bandits,Qwen/Qwen3.5-27B-FP8,yes,six judges,yes,PASS,[SANITIZED_PRIVATE_PATH],[COAUTHOR_RESULTS_PACKET]/DIAGNOSTIC_TABLES/TABLE_D4_MODEL_SCALING_JUDGE.tex,Single-family diagnostic.
Paper-count scaling,diagnostic,varies,Bandits,Qwen/Qwen3.5-9B,yes,five/six judge scaling panel,yes,PASS_WITH_NONMONOTONICITY,[SANITIZED_PRIVATE_PATH],[COAUTHOR_RESULTS_PACKET]/DIAGNOSTIC_TABLES/TABLE_D5_PAPER_SCALING_COUNTS.tex,Nonmonotonic 200 vs 250; appendix/diagnostic only.
Paper-count scaling judge,diagnostic,11 scoreable families,Bandits,formulation-only judge,yes,multi-judge scaling panel,yes,PASS,[SANITIZED_PRIVATE_PATH],[COAUTHOR_RESULTS_PACKET]/DIAGNOSTIC_TABLES/TABLE_D6_PAPER_SCALING_JUDGE.tex,Descriptive scaling scores.
Evolutionary exploration branch,optional,varies,5,legacy evolution,no,not scored,partial,LEGACY_AVAILABLE,[COAUTHOR_RESULTS_PACKET]/CSV_TABLES/table_d7_evolutionary_exploration_counts.csv,[COAUTHOR_RESULTS_PACKET]/DIAGNOSTIC_TABLES/TABLE_D7_EVOLUTIONARY_EXPLORATION_COUNTS.tex,Legacy/optional branch; not main report.
Simple Qwen baseline,optional,15,5,Qwen/Qwen3.5-9B simple prompt,no,NOT_SCORED,no,ARTIFACTS_EXIST,[MAIN_PAPER_RUN_NAMESPACE]/baselines/simple_qwen,[COAUTHOR_RESULTS_PACKET]/APPENDIX_TABLES/TABLE_A4_BASELINE_COUNTS_AND_STATUS.tex,Artifacts exist; not in main scored comparison.
Qwen+RAG baseline,optional,15,5,Qwen/Qwen3.5-9B + retrieved context,no,NOT_SCORED,no,ARTIFACTS_EXIST,[MAIN_PAPER_RUN_NAMESPACE]/baselines/qwen_rag,[COAUTHOR_RESULTS_PACKET]/APPENDIX_TABLES/TABLE_A4_BASELINE_COUNTS_AND_STATUS.tex,Artifacts exist; not in main scored comparison.
Native AI-Scientist-v2 GPT-5.5 blocked attempt,blocked,0,0,openai/gpt-5.5,no,NOT_SCORED,no,BLOCKED_NETWORK_UNREACHABLE,[MAIN_PAPER_RUN_NAMESPACE]/native_ai_scientist_v2_gpt55_ideation_baseline_20260726_034423,[COAUTHOR_RESULTS_PACKET]/APPENDIX_TABLES/TABLE_A4_BASELINE_COUNTS_AND_STATUS.tex,No valid candidate set.
Native AI-Scientist-v2 Claude Opus blocked/SSO successful attempt,appendix/blocked,15 successful; 0 blocked,5,~anthropic/claude-opus-latest,yes,anthropic/claude-sonnet-4; openai/gpt-5.6-sol-pro; x-ai/grok-4.5; moonshotai/kimi-k3; google/gemini-3.6-flash,yes,BLOCKED_THEN_PASS_WITH_SSO,[MAIN_PAPER_RUN_NAMESPACE]/native_ai_scientist_v2_claude_opus_latest_sso_hardcoded_retry_20260726_051057,[COAUTHOR_RESULTS_PACKET]/APPENDIX_TABLES/TABLE_A9_CLAUDE_OPUS_BASELINE_DETAILS.tex,Safe network caveat only; no credentials.
MOOSE-Star setup/validation,appendix,15,5,ZonglinY/MOOSE-Star-HC-R1D-7B,yes,anthropic/claude-sonnet-4; openai/gpt-5.6-sol-pro; x-ai/grok-4.5; moonshotai/kimi-k3; google/gemini-3.6-flash,yes,PASS,[MAIN_PAPER_RUN_NAMESPACE]/baselines/moose_star_public_models_20260726_005146,[COAUTHOR_RESULTS_PACKET]/APPENDIX_TABLES/TABLE_A8_MOOSE_STAR_BASELINE_DETAILS.tex,HC-only public-model baseline.
