method,domain,original_candidate_id,title,candidate_id_examples,judge_count,n,mean_problem_definition_clarity_10,std_problem_definition_clarity_10,se_problem_definition_clarity_10,mean_technical_specificity_10,std_technical_specificity_10,se_technical_specificity_10,mean_well_posedness_10,std_well_posedness_10,se_well_posedness_10,mean_assumption_boundary_clarity_10,std_assumption_boundary_clarity_10,se_assumption_boundary_clarity_10,mean_formalizability_10,std_formalizability_10,se_formalizability_10,mean_nontriviality_10,std_nontriviality_10,se_nontriviality_10,mean_scope_control_10,std_scope_control_10,se_scope_control_10,mean_source_grounded_specificity_10,std_source_grounded_specificity_10,se_source_grounded_specificity_10,mean_ambiguity_hygiene_10,std_ambiguity_hygiene_10,se_ambiguity_hygiene_10,mean_overall_formulation_quality_10,std_overall_formulation_quality_10,se_overall_formulation_quality_10
SGHA_FULL,bandits,sgha_bandits_001,Characterizing Identifiability Limits of Structured Bandits Under Piecewise Non-Stationarity,candidate_13,5,5,7.0,0.6325,0.3162,5.6,0.8,0.4,5.4,1.0198,0.5099,7.2,0.7483,0.3742,5.2,0.9798,0.4899,6.8,0.7483,0.3742,7.4,0.4899,0.2449,5.8,0.9798,0.4899,8.0,0.0,0.0,6.0,0.6325,0.3162
SGHA_FULL,bandits,sgha_bandits_002,Characterizing the Fundamental Limits of Robust Bayesian Exploration Under Non-Lipschitz Dynamics,candidate_11,5,5,6.0,0.6325,0.3162,5.0,0.6325,0.3162,4.8,0.7483,0.3742,5.8,1.3266,0.6633,4.6,0.4899,0.2449,6.6,1.0198,0.5099,4.0,0.0,0.0,4.8,0.4,0.2,7.8,0.4,0.2,5.4,0.4899,0.2449
SGHA_FULL,bandits,sgha_bandits_003,Characterizing the Non-Convex Failure Regime of Diffusion-Based Contextual Bandits,candidate_20,5,5,6.2,0.4,0.2,5.4,0.4899,0.2449,4.8,0.4,0.2,5.6,0.8,0.4,5.0,0.6325,0.3162,6.8,0.7483,0.3742,3.6,0.4899,0.2449,5.2,0.7483,0.3742,7.6,0.4899,0.2449,5.0,0.0,0.0
SGHA_FULL,in_context_learning,sgha_in_context_learning_001,Characterizing the Depth-Window Phase Transition in Linear Attention Mechanisms,candidate_30,5,5,6.8,0.4,0.2,5.6,0.4899,0.2449,5.4,0.4899,0.2449,6.4,0.4899,0.2449,5.2,0.4,0.2,5.8,0.7483,0.3742,7.4,0.4899,0.2449,5.8,1.1662,0.5831,7.8,0.4,0.2,5.8,0.4,0.2
SGHA_FULL,in_context_learning,sgha_in_context_learning_002,Characterizing the Fundamental Robustness Boundary of Autoregressive and Masked In-Context Learning,candidate_16,5,5,5.8,0.4,0.2,4.6,0.4899,0.2449,4.6,0.4899,0.2449,5.6,0.8,0.4,4.4,0.4899,0.2449,6.2,0.7483,0.3742,3.8,0.4,0.2,4.6,1.0198,0.5099,7.2,0.4,0.2,5.0,0.0,0.0
SGHA_FULL,in_context_learning,sgha_in_context_learning_003,Robustness Phase Transitions in In-Context Learning Under Adversarial Feedback,candidate_22,5,5,6.0,0.6325,0.3162,5.0,0.6325,0.3162,5.0,0.8944,0.4472,6.4,0.8,0.4,5.2,0.4,0.2,6.0,0.6325,0.3162,3.6,0.4899,0.2449,5.8,0.7483,0.3742,7.8,0.4,0.2,5.4,0.4899,0.2449
SGHA_FULL,in_context_learning,sgha_in_context_learning_004,Characterizing the Failure Regime of Linear Intervention Methods Under Neural Superposition,candidate_15,5,5,6.6,0.4899,0.2449,5.6,0.4899,0.2449,5.2,0.4,0.2,6.2,0.7483,0.3742,5.0,0.0,0.0,6.2,0.9798,0.4899,4.0,0.0,0.0,4.8,0.4,0.2,7.4,0.8,0.4,5.4,0.4899,0.2449
SGHA_FULL,offline_reinforcement_learning_arxiv,sgha_offline_reinforcement_learning_arxiv_001,Characterizing the Failure Regime of Q-Learning in Offline RL via Distributional Shift,candidate_21,5,5,6.4,0.4899,0.2449,5.8,0.4,0.2,5.2,0.7483,0.3742,6.4,0.8,0.4,5.2,0.7483,0.3742,5.4,0.4899,0.2449,7.2,0.4,0.2,6.0,0.6325,0.3162,7.6,0.4899,0.2449,5.8,0.4,0.2
SGHA_FULL,reasoning_models_test_time_compute,sgha_reasoning_models_test_time_compute_001,Characterizing the Identifiability Boundary of Bootstrapped Reasoning under Unverifiable Feedback,candidate_25,5,5,7.0,0.6325,0.3162,5.8,0.4,0.2,5.6,0.8,0.4,7.2,0.4,0.2,5.4,0.4899,0.2449,7.2,0.7483,0.3742,7.2,0.4,0.2,6.0,0.6325,0.3162,8.2,0.4,0.2,6.2,0.4,0.2
SGHA_FULL,uncertainty_calibration_conformal_prediction_arxiv,sgha_uncertainty_calibration_conformal_prediction_arxiv_001,Calibrating Conformal Prediction Under Arbitrary Covariate Shift via Invariant Coverage Mechanisms,candidate_14,5,5,6.2,0.4,0.2,5.4,0.4899,0.2449,5.0,0.6325,0.3162,5.6,0.8,0.4,4.6,0.4899,0.2449,5.8,0.7483,0.3742,3.8,0.4,0.2,4.6,0.8,0.4,7.0,0.8944,0.4472,5.0,0.0,0.0
SGHA_FULL,uncertainty_calibration_conformal_prediction_arxiv,sgha_uncertainty_calibration_conformal_prediction_arxiv_002,Characterizing the Fundamental Limits of Data-Adaptive Uncertainty Calibration,candidate_07,5,5,6.8,0.7483,0.3742,5.8,0.7483,0.3742,5.6,1.0198,0.5099,6.2,0.7483,0.3742,5.2,0.9798,0.4899,7.2,0.7483,0.3742,6.4,1.2,0.6,6.2,0.9798,0.4899,8.0,0.6325,0.3162,6.0,0.6325,0.3162
SGHA_FULL,uncertainty_calibration_conformal_prediction_arxiv,sgha_uncertainty_calibration_conformal_prediction_arxiv_003,Characterizing the Fundamental Limits of Calibration Under Extreme Non-Exchangeable Shifts,candidate_27,5,5,6.2,0.4,0.2,5.2,0.4,0.2,4.6,0.4899,0.2449,5.2,0.4,0.2,5.2,0.4,0.2,6.2,0.7483,0.3742,4.0,0.0,0.0,3.8,0.7483,0.3742,7.0,0.6325,0.3162,5.0,0.0,0.0
SGHA_FULL,uncertainty_calibration_conformal_prediction_arxiv,sgha_uncertainty_calibration_conformal_prediction_arxiv_004,Characterizing Calibration Collapse in Federated Conformal Prediction Under Arbitrary Heterogeneity,candidate_08,5,5,6.2,0.4,0.2,6.0,0.0,0.0,5.6,0.4899,0.2449,6.4,0.4899,0.2449,5.6,0.4899,0.2449,5.2,0.7483,0.3742,4.2,0.9798,0.4899,5.6,0.8,0.4,7.6,0.4899,0.2449,5.6,0.4899,0.2449
SGHA_FULL,uncertainty_calibration_conformal_prediction_arxiv,sgha_uncertainty_calibration_conformal_prediction_arxiv_005,Calibration-Optimal Single-Pass Uncertainty via Structural Mismatch Bounds,candidate_29,5,5,7.0,0.6325,0.3162,5.8,0.4,0.2,5.4,0.8,0.4,6.2,0.7483,0.3742,5.2,0.9798,0.4899,7.2,0.4,0.2,7.2,0.7483,0.3742,4.8,0.7483,0.3742,8.0,0.6325,0.3162,6.0,0.6325,0.3162
SGHA_FULL,uncertainty_calibration_conformal_prediction_arxiv,sgha_uncertainty_calibration_conformal_prediction_arxiv_006,Characterizing the Fragility Boundary of Distribution-Free Conformal Prediction Under Extreme Label Shift,candidate_06,5,5,6.4,0.4899,0.2449,5.6,0.4899,0.2449,5.6,0.8,0.4,6.2,0.7483,0.3742,5.2,0.7483,0.3742,5.6,0.4899,0.2449,4.6,1.7436,0.8718,5.2,0.7483,0.3742,7.8,0.4,0.2,5.6,0.4899,0.2449
