domain,method,candidate_id,title,problem_definition_clarity_10,technical_specificity_10,well_posedness_10,assumption_boundary_clarity_10,formalizability_10,nontriviality_10,scope_control_10,source_grounded_specificity_10,ambiguity_hygiene_10,overall_formulation_quality_10,recommended_action,confidence,cap_violation_flag,rationale
offline_reinforcement_learning_arxiv,NATIVE_AI_SCIENTIST_V2,native_ai_scientist_v2_001,Density-Adaptive Conservative Value Functions for Offline Reinforcement Learning,7,6,4,5,5,7,8,6,4,5,PROMISING_NEEDS_REFINEMENT,MEDIUM,no,"This formulation identifies a concrete and well-motivated problem in offline RL: the suboptimality of uniform conservatism when data density varies across the state-action space. The core insight about density-adaptive conservatism is technically sound and represents a meaningful departure from existing global regularization approaches. However, the formulation suffers from significant gaps in technical precision. Critical concepts like 'local density,' the specific form of density-dependent regularization, and the formal relationship between density and conservatism level are not defined. The absence of formal problem setup and assumptions makes it difficult to assess well-posedness rigorously. While the idea shows promise and is clearly scoped, it needs substantial refinement to become a rigorous research problem formulation."
uncertainty_calibration_conformal_prediction_arxiv,SGHA_FULL,family:01,Characterizing the Fundamental Limits of Data-Adaptive Uncertainty Calibration,7,6,5,6,5,8,7,8,7,6,PROMISING_NEEDS_REFINEMENT,MEDIUM,no,"This formulation addresses a genuinely important theoretical question about the fundamental limits of data-adaptive uncertainty estimation. The problem is clearly motivated and well-grounded in source literature. However, the formal mathematical framework needs substantial refinement. Key technical objects like 'calibration properties under distributional shifts' and the divergence conditions are not precisely defined. The formal problem statement introduces notation that lacks rigorous mathematical meaning (e.g., 'lim_shift'). While the candidate honestly acknowledges several ambiguities, the core mathematical framework remains too imprecise for immediate formalization without inventing major missing details."
uncertainty_calibration_conformal_prediction_arxiv,SGHA_FULL,family:02,Characterizing the Fundamental Limits of Calibration Under Extreme Non-Exchangeable Shifts,7,6,6,7,6,6,4,8,7,6,PROMISING_NEEDS_REFINEMENT,MEDIUM,no,"This formulation presents a theoretically motivated problem seeking fundamental limits of calibration under non-exchangeability in federated settings. While the core question is clear and the formal structure is present, the formulation suffers from combining multiple concepts and essentially applying theoretical analysis to an existing setting. The ambiguities around 'extreme' shifts and the measurement model, though acknowledged, limit the precision needed for rigorous follow-up work."
uncertainty_calibration_conformal_prediction_arxiv,SGHA_FULL,family:03,Characterizing the Fragility Boundary of Distribution-Free Conformal Prediction Under Extreme Label Shift,8,7,8,9,8,8,8,8,8,8,PROMISING_NEEDS_REFINEMENT,HIGH,yes,"This is a strong research problem formulation that clearly defines the core question of characterizing failure boundaries in conformal prediction under label shift. The formal problem statement provides a solid mathematical foundation with well-defined variables and objectives. The candidate demonstrates good scientific rigor by explicitly acknowledging assumptions and identifying ambiguous terms. The problem is non-trivial as it seeks fundamental theoretical characterization rather than empirical validation of existing methods. While some key terms need further definition, the overall formulation provides a clear path toward rigorous investigation."
uncertainty_calibration_conformal_prediction_arxiv,SGHA_FULL,family:04,Calibrating Conformal Prediction Under Arbitrary Covariate Shift via Invariant Coverage Mechanisms,7,6,6,7,6,6,4,8,7,6,PROMISING_NEEDS_REFINEMENT,MEDIUM,no,"The formulation identifies a genuine research problem with clear motivation and good source grounding. However, it suffers from scope issues by bundling theoretical characterization with constructive mechanisms, and follows an 'apply X to Y' pattern. The core technical challenge is well-posed but the combination of 'arbitrary' shift with 'defined ambiguity set' creates a fundamental tension that needs resolution."
uncertainty_calibration_conformal_prediction_arxiv,SGHA_FULL,family:05,Characterizing Calibration Collapse in Federated Conformal Prediction Under Arbitrary Heterogeneity,7,8,7,8,7,6,4,8,8,6,PROMISING_NEEDS_REFINEMENT,HIGH,no,"The formulation has strong technical foundations and clear assumption boundaries, but suffers from scope creep and falls into the 'apply X to Y' pattern (conformal prediction to federated settings). While the formal mathematical setup is reasonable, the combination of theoretical characterization, benchmark development, and multiple evaluation objectives dilutes the focus. The core research question about coverage guarantees under non-exchangeability is valid but not sufficiently novel beyond routine stress testing."
uncertainty_calibration_conformal_prediction_arxiv,SGHA_FULL,family:06,Calibration-Optimal Single-Pass Uncertainty via Structural Mismatch Bounds,7,6,5,6,5,7,8,8,8,6,PROMISING_NEEDS_REFINEMENT,HIGH,no,"This formulation presents a theoretically motivated and well-scoped research problem investigating fundamental limits of single-pass uncertainty estimation. The problem is clearly bounded and addresses a specific gap between single-pass and ensemble methods. The candidate demonstrates strong source grounding and excellent awareness of ambiguous terms. However, the formalization is incomplete due to undefined key concepts like structural mismatch and representational capacity. While the mathematical skeleton is present, critical components need precise definition before the problem becomes fully formalizable. The theoretical nature and focus on fundamental limits elevates this beyond routine applications, but the missing formal specifications prevent it from reaching the highest scores."
uncertainty_calibration_conformal_prediction_arxiv,NATIVE_AI_SCIENTIST_V2,native_ai_scientist_v2_001,Conformal Prediction Under Selective Sampling: Theory and Practice for Active Learning,7,6,4,5,5,6,7,4,4,5,PROMISING_NEEDS_REFINEMENT,MEDIUM,no,"The formulation identifies a clear and specific problem at the intersection of conformal prediction and active learning, with good scope control. However, it suffers from missing formal components that prevent it from being a strong research problem formulation. The absence of formal problem statement, explicit assumptions, and precise definitions of key technical concepts significantly limits its well-posedness and formalizability. While the problem appears non-trivial and addresses a real gap, the formulation needs substantial refinement to support rigorous follow-up work."
uncertainty_calibration_conformal_prediction_arxiv,NATIVE_AI_SCIENTIST_V2,native_ai_scientist_v2_002,Conformal Prediction with Minimal Calibration: Theory and Algorithms for Data-Constrained Settings,7,6,4,5,5,7,8,4,4,5,PROMISING_NEEDS_REFINEMENT,MEDIUM,no,"This formulation identifies a clear and practically important problem in conformal prediction - achieving coverage guarantees with severely limited calibration data. The problem is well-scoped and addresses a genuine constraint in real-world deployments. However, the formulation suffers from significant gaps in formal specification. The absence of a formal problem statement, explicit assumptions, and precise definitions of key technical components limits the ability to assess well-posedness and formalizability. While the core problem is compelling and the proposed technical directions are reasonable, the formulation needs substantial refinement to support rigorous follow-up work."
uncertainty_calibration_conformal_prediction_arxiv,NATIVE_AI_SCIENTIST_V2,native_ai_scientist_v2_003,Self-Adapting Conformal Prediction for Streaming Data with Concept Drift Detection,6,5,4,5,4,7,7,4,4,5,PROMISING_NEEDS_REFINEMENT,MEDIUM,no,"The candidate identifies a legitimate and practically important problem where standard conformal prediction fails under concept drift. The core issue is clearly stated and the proposed approach has a reasonable structure. However, the formulation suffers from significant gaps in technical precision. Without formal definitions of drift, detection mechanisms, or recalibration procedures, the problem cannot be rigorously pursued. The missing formal problem statement and assumptions severely limit the ability to assess well-posedness. While the motivation is strong and the scope is appropriately focused, substantial refinement is needed to make this a rigorous research formulation."
uncertainty_calibration_conformal_prediction_arxiv,NATIVE_AI_SCIENTIST_V2,native_ai_scientist_v2_004,Black-Box Conformal Prediction via Knowledge Distillation: Efficient Uncertainty Quantification at Inference Time,7,6,4,4,5,7,4,4,4,5,PROMISING_NEEDS_REFINEMENT,MEDIUM,no,"The formulation identifies a clear computational problem in conformal prediction and proposes a novel approach combining knowledge distillation with uncertainty quantification. However, the scope spans multiple loosely related concepts without tight integration, and critical technical details are missing. The absence of formal problem statement, assumptions, and key definitions significantly limits the formulation's precision and immediate formalizability."
uncertainty_calibration_conformal_prediction_arxiv,NATIVE_AI_SCIENTIST_V2,native_ai_scientist_v2_005,Fair Conformal Prediction: Subgroup-Aware Uncertainty Quantification with Coverage Guarantees,6,5,4,3,4,6,7,4,3,5,PROMISING_NEEDS_REFINEMENT,MEDIUM,yes,"The formulation identifies a clear and important problem at the intersection of conformal prediction and fairness, with reasonable technical specificity in the proposed approach. However, critical formalization elements are missing, including formal problem statement, assumptions, and key definitions. While the core idea is sound and non-trivial, the lack of mathematical precision significantly limits the formulation's strength."
uncertainty_calibration_conformal_prediction_arxiv,NATIVE_AI_SCIENTIST_V2,native_ai_scientist_v2_006,Conformal Prediction After Model Compression: Uncertainty Calibration in Pruned and Quantized Neural Networks,7,6,4,5,4,6,7,4,4,5,PROMISING_NEEDS_REFINEMENT,MEDIUM,no,"This formulation identifies a concrete and important problem at the intersection of conformal prediction and model compression. The core insight that compression breaks CP's model identity assumption is clear and technically sound. However, the formulation suffers from missing critical components: no formal problem statement, undefined key technical terms, and insufficient mathematical setup. While the problem is more than a simple 'apply X to Y' due to the specific theoretical challenge of coverage guarantee preservation, the lack of formal grounding prevents higher scoring."
