relative_path,artifact_type,source_description_sanitized,contains_candidate_text,contains_judge_scores,contains_table_data,contains_profile_artifacts,contains_evolution_artifacts,contains_sensitivity_artifacts,contains_raw_pdf_or_full_text,contains_raw_llm_logs,notes
baselines/moose_star/MOOSE_STAR_BASELINE_ALL5_REPORT.md,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/moose_star/bandits_best_example.md,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/moose_star/bandits_moose_star_ideas.jsonl,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/moose_star/bandits_moose_star_ideas.md,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/moose_star/in_context_learning_moose_star_ideas.jsonl,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/moose_star/in_context_learning_moose_star_ideas.md,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/moose_star/moose_star_baseline_counts.csv,baseline_result,paper baseline result artifact,false,false,true,false,false,false,false,false,included in public paper artifact bundle
baselines/moose_star/offline_reinforcement_learning_arxiv_moose_star_ideas.jsonl,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/moose_star/offline_reinforcement_learning_arxiv_moose_star_ideas.md,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/moose_star/reasoning_models_test_time_compute_moose_star_ideas.jsonl,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/moose_star/reasoning_models_test_time_compute_moose_star_ideas.md,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/moose_star/uncertainty_calibration_conformal_prediction_arxiv_moose_star_ideas.jsonl,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
baselines/moose_star/uncertainty_calibration_conformal_prediction_arxiv_moose_star_ideas.md,baseline_result,paper baseline result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
candidate_packets/README.md,candidate_packet,paper judge candidate packet,true,false,false,false,false,false,false,false,included in public paper artifact bundle
candidate_packets/blinded/ai_scientist_v2_claude_opus_candidates_blinded.jsonl,candidate_packet,paper judge candidate packet,true,false,false,false,false,false,false,false,included in public paper artifact bundle
candidate_packets/blinded/evolutionary_candidates_blinded.jsonl,candidate_packet,paper judge candidate packet,true,false,false,false,true,false,false,false,included in public paper artifact bundle
candidate_packets/blinded/profile_conditioned_candidates_blinded.jsonl,candidate_packet,paper judge candidate packet,true,false,false,true,false,false,false,false,included in public paper artifact bundle
candidate_packets/blinded/sgha_vs_ai_scientist_v2_qwen_candidates_blinded.jsonl,candidate_packet,paper judge candidate packet,true,false,false,false,false,false,false,false,included in public paper artifact bundle
candidate_packets/blinded/sgha_vs_moose_star_candidates_blinded.jsonl,candidate_packet,paper judge candidate packet,true,false,false,false,false,false,false,false,included in public paper artifact bundle
candidate_packets/unblinded_sanitized/ai_scientist_v2_claude_opus_candidates_unblinded_sanitized.jsonl,candidate_packet,paper judge candidate packet,true,false,false,false,false,false,false,false,included in public paper artifact bundle
candidate_packets/unblinded_sanitized/ai_scientist_v2_qwen_candidates_unblinded_sanitized.jsonl,candidate_packet,paper judge candidate packet,true,false,false,false,false,false,false,false,included in public paper artifact bundle
candidate_packets/unblinded_sanitized/evolutionary_candidates_unblinded_sanitized.jsonl,candidate_packet,paper judge candidate packet,true,false,false,false,true,false,false,false,included in public paper artifact bundle
candidate_packets/unblinded_sanitized/moose_star_candidates_unblinded_sanitized.jsonl,candidate_packet,paper judge candidate packet,true,false,false,false,false,false,false,false,included in public paper artifact bundle
candidate_packets/unblinded_sanitized/profile_conditioned_candidates_unblinded_sanitized.jsonl,candidate_packet,paper judge candidate packet,true,false,false,true,false,false,false,false,included in public paper artifact bundle
candidate_packets/unblinded_sanitized/sgha_final_candidates_unblinded_sanitized.jsonl,candidate_packet,paper judge candidate packet,true,false,false,false,false,false,false,false,included in public paper artifact bundle
evolutionary/scores/formulation_only_scores_by_domain.csv,evolutionary_result,evolutionary ablation paper-result artifact,false,true,true,false,true,false,false,false,included in public paper artifact bundle
evolutionary/scores/formulation_only_scores_by_domain_method.csv,evolutionary_result,evolutionary ablation paper-result artifact,false,true,true,false,true,false,false,false,included in public paper artifact bundle
evolutionary/scores/formulation_only_scores_by_method.csv,evolutionary_result,evolutionary ablation paper-result artifact,false,true,true,false,true,false,false,false,included in public paper artifact bundle
evolutionary/scores/formulation_only_scores_unblinded.csv,evolutionary_result,evolutionary ablation paper-result artifact,false,true,true,false,true,false,false,false,included in public paper artifact bundle
evolutionary/selected_candidates/evolutionary_candidates_unblinded_sanitized.jsonl,evolutionary_result,evolutionary ablation paper-result artifact,true,false,false,false,true,false,false,false,included in public paper artifact bundle
evolutionary/selected_candidates/evolutionary_selected_candidates_index.csv,evolutionary_result,evolutionary ablation paper-result artifact,true,false,true,false,true,false,false,false,included in public paper artifact bundle
evolutionary/selected_candidates/top_evolutionary_example.md,evolutionary_result,evolutionary ablation paper-result artifact,true,false,false,false,true,false,false,false,included in public paper artifact bundle
evolutionary/summaries/FORMULATION_ONLY_EVOLUTIONARY_EXPLORATION_JUDGE_REPORT.md,evolutionary_result,evolutionary ablation paper-result artifact,false,false,false,false,true,false,false,false,included in public paper artifact bundle
judge_scores/README.md,judge_score,paper judge score artifact,false,true,false,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/ai_scientist_v2_qwen_FORMULATION_ONLY_RUBRIC.md,judge_score,paper judge score artifact,false,true,false,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/ai_scientist_v2_qwen_FORMULATION_ONLY_SCORE_SUMMARY.md,judge_score,paper judge score artifact,false,true,false,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/ai_scientist_v2_qwen_all_individual_formulation_scores_readable.csv,judge_score,paper judge score artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/ai_scientist_v2_qwen_formulation_only_scores_by_domain.csv,judge_score,paper judge score artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/ai_scientist_v2_qwen_formulation_only_scores_by_domain_method.csv,judge_score,paper judge score artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/ai_scientist_v2_qwen_formulation_only_scores_by_method.csv,judge_score,paper judge score artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/ai_scientist_v2_qwen_formulation_only_scores_unblinded.csv,judge_score,paper judge score artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/ai_scientist_v2_qwen_formulation_only_sgha_vs_native_deltas.csv,judge_score,paper judge score artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/ai_scientist_v2_qwen_formulation_only_sgha_vs_native_scores.csv,judge_score,paper judge score artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/claude_opus_FORMULATION_ONLY_CLAUDE_OPUS_BASELINE_JUDGE_REPORT.md,judge_score,paper judge score artifact,false,true,false,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/claude_opus_formulation_only_scores_by_domain.csv,judge_score,paper judge score artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/claude_opus_formulation_only_scores_by_domain_method.csv,judge_score,paper judge score artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/claude_opus_formulation_only_scores_by_method.csv,judge_score,paper judge score artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/claude_opus_formulation_only_scores_unblinded.csv,judge_score,paper judge score artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/four_way_BEST_OF_METHOD_4WAY_REPORT.md,judge_score,paper judge score artifact,false,true,false,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/four_way_candidate_pool_summary.md,judge_score,paper judge score artifact,false,true,false,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/four_way_criterion_rank_summary.csv,judge_score,paper judge score artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/four_way_domain_winners.csv,judge_score,paper judge score artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/four_way_four_way_judge_summary.md,judge_score,paper judge score artifact,false,true,false,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/four_way_four_way_results_unblinded.csv,judge_score,paper judge score artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/four_way_mean_rank_by_method.csv,judge_score,paper judge score artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/four_way_selected_best_candidates_unblinded_sanitized.jsonl,judge_score,paper judge score artifact,false,true,false,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/four_way_win_counts_by_method.csv,judge_score,paper judge score artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/moose_star_FORMULATION_ONLY_MOOSE_STAR_JUDGE_REPORT.md,judge_score,paper judge score artifact,false,true,false,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/moose_star_PAPER_READY_SGHA_VS_MOOSE_SCORE_TABLE.md,judge_score,paper judge score artifact,false,true,false,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/moose_star_SGHA_VS_MOOSE_STAR_SCORE_SUMMARY.md,judge_score,paper judge score artifact,false,true,false,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/moose_star_canonical_sgha_native_moose_scores_by_method.csv,judge_score,paper judge score artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/moose_star_paper_ready_sgha_vs_moose_score_table.csv,judge_score,paper judge score artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/moose_star_sgha_vs_moose_candidate_aggregates.csv,judge_score,paper judge score artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/moose_star_sgha_vs_moose_scores_by_domain_method.csv,judge_score,paper judge score artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
judge_scores/main_comparison/moose_star_sgha_vs_moose_scores_by_method.csv,judge_score,paper judge score artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
main_results/README.md,main_result_table,canonical main paper table artifact,false,false,true,false,false,false,false,false,included in public paper artifact bundle
main_results/formulation_quality_scores.csv,main_result_table,canonical main paper table artifact,false,true,true,false,false,false,false,false,included in public paper artifact bundle
main_results/pipeline_yield.csv,main_result_table,canonical main paper table artifact,false,false,true,false,false,false,false,false,included in public paper artifact bundle
main_results/qualitative_example_overview.csv,main_result_table,canonical main paper table artifact,false,false,true,false,false,false,false,false,included in public paper artifact bundle
main_results/structural_artifact_coverage.csv,main_result_table,canonical main paper table artifact,false,false,true,false,false,false,false,false,included in public paper artifact bundle
main_sgha/final_project_families/bandits_final_project_families.json,main_sgha_result,main SGHA paper-result artifact,true,false,false,false,false,false,false,false,included in public paper artifact bundle
main_sgha/final_project_families/bandits_final_report_polished.md,main_sgha_result,main SGHA paper-result artifact,true,false,false,false,false,false,false,false,included in public paper artifact bundle
main_sgha/final_project_families/in_context_learning_final_project_families.json,main_sgha_result,main SGHA paper-result artifact,true,false,false,false,false,false,false,false,included in public paper artifact bundle
main_sgha/final_project_families/in_context_learning_final_report_polished.md,main_sgha_result,main SGHA paper-result artifact,true,false,false,false,false,false,false,false,included in public paper artifact bundle
main_sgha/final_project_families/offline_reinforcement_learning_arxiv_final_project_families.json,main_sgha_result,main SGHA paper-result artifact,true,false,false,false,false,false,false,false,included in public paper artifact bundle
main_sgha/final_project_families/offline_reinforcement_learning_arxiv_final_report_polished.md,main_sgha_result,main SGHA paper-result artifact,true,false,false,false,false,false,false,false,included in public paper artifact bundle
main_sgha/final_project_families/reasoning_models_test_time_compute_final_project_families.json,main_sgha_result,main SGHA paper-result artifact,true,false,false,false,false,false,false,false,included in public paper artifact bundle
main_sgha/final_project_families/reasoning_models_test_time_compute_final_report_polished.md,main_sgha_result,main SGHA paper-result artifact,true,false,false,false,false,false,false,false,included in public paper artifact bundle
main_sgha/final_project_families/uncertainty_calibration_conformal_prediction_arxiv_final_project_families.json,main_sgha_result,main SGHA paper-result artifact,true,false,false,false,false,false,false,false,included in public paper artifact bundle
main_sgha/final_project_families/uncertainty_calibration_conformal_prediction_arxiv_final_report_polished.md,main_sgha_result,main SGHA paper-result artifact,true,false,false,false,false,false,false,false,included in public paper artifact bundle
main_sgha/formal_problem_statements/bandits_formal_problem_formulations.jsonl,main_sgha_result,main SGHA paper-result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
main_sgha/formal_problem_statements/in_context_learning_formal_problem_formulations.jsonl,main_sgha_result,main SGHA paper-result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
main_sgha/formal_problem_statements/offline_reinforcement_learning_arxiv_formal_problem_formulations.jsonl,main_sgha_result,main SGHA paper-result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
main_sgha/formal_problem_statements/reasoning_models_test_time_compute_formal_problem_formulations.jsonl,main_sgha_result,main SGHA paper-result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
main_sgha/formal_problem_statements/uncertainty_calibration_conformal_prediction_arxiv_formal_problem_formulations.jsonl,main_sgha_result,main SGHA paper-result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
main_sgha/pipeline_counts/table_a1_full_pipeline_counts.csv,main_sgha_result,main SGHA paper-result artifact,false,false,true,false,false,false,false,false,included in public paper artifact bundle
main_sgha/qualitative_examples/bandits_best_sgha_example.md,main_sgha_result,main SGHA paper-result artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
paper_examples/README.md,qualitative_example,curated qualitative paper example,true,false,false,false,false,false,false,false,included in public paper artifact bundle
paper_examples/baselines/bandits_ai_scientist_claude_opus_best_example.md,qualitative_example,curated qualitative paper example,true,false,false,false,false,false,false,false,included in public paper artifact bundle
paper_examples/baselines/bandits_ai_scientist_qwen_best_example.md,qualitative_example,curated qualitative paper example,true,false,false,false,false,false,false,false,included in public paper artifact bundle
paper_examples/baselines/bandits_moose_star_best_example.md,qualitative_example,curated qualitative paper example,true,false,false,false,false,false,false,false,included in public paper artifact bundle
paper_examples/evolutionary/top_evolutionary_example.md,qualitative_example,curated qualitative paper example,true,false,false,false,true,false,false,false,included in public paper artifact bundle
paper_examples/main_sgha/bandits_best_sgha_network_lasso_example.md,qualitative_example,curated qualitative paper example,true,false,false,false,false,false,false,false,included in public paper artifact bundle
paper_examples/main_sgha/bandits_diffusion_dts_example.md,qualitative_example,curated qualitative paper example,true,false,false,false,false,false,false,false,included in public paper artifact bundle
paper_examples/main_sgha/representative_outputs_by_domain.md,qualitative_example,curated qualitative paper example,true,false,false,false,false,false,false,false,included in public paper artifact bundle
paper_examples/profile_conditioned/michael_jordan_hierarchical_identifiability_example.md,qualitative_example,curated qualitative paper example,true,false,false,true,false,false,false,false,included in public paper artifact bundle
paper_run_configs/README.md,support_file,public release support artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
paper_run_configs/baselines/ai_scientist_v2_claude_opus.yaml,support_file,public release support artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
paper_run_configs/baselines/ai_scientist_v2_qwen.yaml,support_file,public release support artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
paper_run_configs/baselines/moose_star_public_model.yaml,support_file,public release support artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
paper_run_configs/judging/formulation_only_judges.yaml,support_file,public release support artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
paper_run_configs/judging/personalized_judge.yaml,support_file,public release support artifact,false,false,false,true,false,false,false,false,included in public paper artifact bundle
paper_run_configs/main_domains/bandits.yaml,support_file,public release support artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
paper_run_configs/main_domains/in_context_learning.yaml,support_file,public release support artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
paper_run_configs/main_domains/offline_reinforcement_learning.yaml,support_file,public release support artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
paper_run_configs/main_domains/reasoning_test_time_compute.yaml,support_file,public release support artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
paper_run_configs/main_domains/uncertainty_estimation.yaml,support_file,public release support artifact,false,false,false,false,false,false,false,false,included in public paper artifact bundle
paper_run_configs/profile_conditioned/geoffrey_hinton.yaml,support_file,public release support artifact,false,false,false,true,false,false,false,false,included in public paper artifact bundle
paper_run_configs/profile_conditioned/michael_i_jordan.yaml,support_file,public release support artifact,false,false,false,true,false,false,false,false,included in public paper artifact bundle
paper_run_configs/profile_conditioned/yann_lecun.yaml,support_file,public release support artifact,false,false,false,true,false,false,false,false,included in public paper artifact bundle
profile_conditioned/README.md,profile_conditioned_result,profile-conditioned paper-result artifact,false,false,false,true,false,false,false,false,included in public paper artifact bundle
profile_conditioned/candidates/michael_jordan_hierarchical_identifiability_example.md,profile_conditioned_result,profile-conditioned paper-result artifact,true,false,false,true,false,false,false,false,included in public paper artifact bundle
profile_conditioned/candidates/profile_conditioned_candidates_unblinded_sanitized.jsonl,profile_conditioned_result,profile-conditioned paper-result artifact,true,false,false,true,false,false,false,false,included in public paper artifact bundle
profile_conditioned/profile_pipeline_counts.csv,profile_conditioned_result,profile-conditioned paper-result artifact,false,false,true,true,false,false,false,false,included in public paper artifact bundle
profile_conditioned/profile_scores.csv,profile_conditioned_result,profile-conditioned paper-result artifact,false,true,true,true,false,false,false,false,included in public paper artifact bundle
profile_conditioned/profile_summary_table.csv,profile_conditioned_result,profile-conditioned paper-result artifact,false,false,true,true,false,false,false,false,included in public paper artifact bundle
profile_conditioned/sanitized_profile_contexts/geoffrey_hinton.json,profile_conditioned_result,profile-conditioned paper-result artifact,false,false,false,true,false,false,false,false,included in public paper artifact bundle
profile_conditioned/sanitized_profile_contexts/michael_i_jordan.json,profile_conditioned_result,profile-conditioned paper-result artifact,false,false,false,true,false,false,false,false,included in public paper artifact bundle
profile_conditioned/sanitized_profile_contexts/yann_lecun.json,profile_conditioned_result,profile-conditioned paper-result artifact,false,false,false,true,false,false,false,false,included in public paper artifact bundle
sensitivity/corpus_size/paper_scaling_counts.md,sensitivity_result,sensitivity analysis paper-result artifact,false,false,false,false,false,true,false,false,included in public paper artifact bundle
sensitivity/corpus_size/paper_scaling_judge.md,sensitivity_result,sensitivity analysis paper-result artifact,false,false,false,false,false,true,false,false,included in public paper artifact bundle
sensitivity/corpus_size/table_d5_paper_scaling_counts.csv,sensitivity_result,sensitivity analysis paper-result artifact,false,false,true,false,false,true,false,false,included in public paper artifact bundle
sensitivity/corpus_size/table_d6_paper_scaling_judge.csv,sensitivity_result,sensitivity analysis paper-result artifact,false,false,true,false,false,true,false,false,included in public paper artifact bundle
sensitivity/model_size/model_scaling_counts.md,sensitivity_result,sensitivity analysis paper-result artifact,false,false,false,false,false,true,false,false,included in public paper artifact bundle
sensitivity/model_size/model_scaling_judge.md,sensitivity_result,sensitivity analysis paper-result artifact,false,false,false,false,false,true,false,false,included in public paper artifact bundle
sensitivity/model_size/table_d3_model_scaling_counts.csv,sensitivity_result,sensitivity analysis paper-result artifact,false,false,true,false,false,true,false,false,included in public paper artifact bundle
sensitivity/model_size/table_d4_model_scaling_judge.csv,sensitivity_result,sensitivity analysis paper-result artifact,false,false,true,false,false,true,false,false,included in public paper artifact bundle
tables/README.md,table_index,public table navigation reference,false,false,true,false,false,false,false,false,included in public paper artifact bundle
